task_code,cutting_best_response,cutting_second_response,maintenance_name_response,process_name_response,quality_name_response,date_response,decision_score,score_rel_opt_cc
T1,,,,,,2025-05-15,1.0,1.0
T1,,,,,,2025-05-08,0.8982936742909408,0.7588571049035397
T1,,,,,,2025-05-14,0.8861686464688862,0.7301089981191164
T1,,,,,,2025-05-28,0.8853537437125027,0.72817688614352
T1,,,,,,2025-05-16,0.8593147632910364,0.6664391812326725
T1,,,,,,2025-05-30,0.8372912276771208,0.6142219852896029
T1,,,,,,2025-05-09,0.8328431217774496,0.6036756487971144
T1,,,,,,2025-05-02,0.8156312208891043,0.562866706173409
T1,,,,,,2025-05-07,0.8028650897668232,0.5325985611337963
T1,,,,,,2025-05-29,0.8010468164909822,0.5282874853107733
T1,,,,,,2025-05-23,0.755686423138019,0.4207392428628262
T1,,,,,,2025-05-06,0.7442291037168174,0.3935742542939061
T1,,,,,,2025-05-27,0.7244494340715313,0.3466772027185681
T1,,,,,,2025-05-13,0.7023885736921626,0.2943715107853287
T1,,,,,,2025-05-20,0.6962598038809603,0.2798403664799017
T1,,,,,,2025-05-12,0.6172861513384801,0.0925960129191151
T1,,,,,,2025-05-22,0.60054179814209,0.0528956129868075
T1,,,,,,2025-05-01,0.5908262599880956,0.0298603397966598
T1,,,,,,2025-05-21,0.5512135226428437,0.0
T1,,,,,,2025-05-19,0.5184917204574985,0.0
T1,,,,,,2025-05-05,0.4457092706341229,0.0
T1,,,,,,2025-05-26,0.4437581209822983,0.0
T1,,,,,,2025-05-17,0.4240219729771728,0.0
T1,,,,,,2025-05-24,0.3924397697771299,0.0
T1,,,,,,2025-05-10,0.383659675885349,0.0
T1,,,,,,2025-05-03,0.3774979228170504,0.0
T1,,,,,,2025-05-31,0.3379281399684157,0.0
T1,,,,,,2025-05-11,0.0,0.0
T1,,,,,,2025-05-04,0.0,0.0
T1,,,,,,2025-05-18,0.0,0.0
T1,,,,,,2025-05-25,0.0,0.0
T2,Medium Capacity Cutting Machine 3,Low Capacity Cutting Machine 1,,,,,1.0,1.0
T2,Low Capacity Cutting Machine 1,Medium Capacity Cutting Machine 3,,,,,0.9684051905637132,0.9192213034806094
T2,Medium Capacity Cutting Machine 3,Large Capacity Cutting Machine 2,,,,,0.9422469015506928,0.8523422012688875
T2,Medium Capacity Cutting Machine 3,Medium Capacity Cutting Machine 2,,,,,0.9368799196014578,0.8386203965219219
T2,Large Capacity Cutting Machine 2,Medium Capacity Cutting Machine 3,,,,,0.8817755428897527,0.6977346053839408
T2,Medium Capacity Cutting Machine 2,Medium Capacity Cutting Machine 3,,,,,0.8737250699658999,0.6771518982634922
T2,Medium Capacity Cutting Machine 3,Large Capacity Cutting Machine 1,,,,,0.8498081584676709,0.6160033434829179
T2,Low Capacity Cutting Machine 1,Large Capacity Cutting Machine 2,,,,,0.847462473241833,0.6100061117107158
T2,Low Capacity Cutting Machine 1,Medium Capacity Cutting Machine 2,,,,,0.842095491292598,0.5962843069637502
T2,Large Capacity Cutting Machine 2,Low Capacity Cutting Machine 1,,,,,0.8185859240171796,0.5361772123451599
T2,Medium Capacity Cutting Machine 2,Low Capacity Cutting Machine 1,,,,,0.8105354510933268,0.5155945052247112
T2,Large Capacity Cutting Machine 2,Medium Capacity Cutting Machine 2,,,,,0.7554658436186373,0.3747976088670818
T2,Low Capacity Cutting Machine 1,Large Capacity Cutting Machine 1,,,,,0.7550237301588107,0.3736672539247458
T2,Medium Capacity Cutting Machine 2,Large Capacity Cutting Machine 2,,,,,0.7527823526440197,0.3679367064935986
T2,Large Capacity Cutting Machine 1,Medium Capacity Cutting Machine 3,,,,,0.7431174282652194,0.3432263187049863
T2,Large Capacity Cutting Machine 1,Low Capacity Cutting Machine 1,,,,,0.6799278093926462,0.1816689256662053
T2,Large Capacity Cutting Machine 2,Large Capacity Cutting Machine 1,,,,,0.6683940824848501,0.1521805558280774
T2,Medium Capacity Cutting Machine 2,Large Capacity Cutting Machine 1,,,,,0.6603436095609974,0.131597848707629
T2,Large Capacity Cutting Machine 1,Large Capacity Cutting Machine 2,,,,,0.6221747109433391,0.0340111269350928
T2,Large Capacity Cutting Machine 1,Medium Capacity Cutting Machine 2,,,,,0.6168077289941039,0.0202893221881272
